OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,GlobalID,SHAPE_Length,SHAPE_Area
5188,2019,CA,USF,ANF,5852742010602,CAMP VALCREST AREA,14,2019/06/01 00:00:00,2019/06/01 00:00:00,98,7.1490331,,,,{CA78B764-DB19-4788-9B51-CCF75F047C1E},981.788944290534,42542.0445177007
5189,2019,CA,USF,ANF,5871355010602,FY19 CLEAR CREEK FB RX,14,2019/03/01 00:00:00,2019/03/01 00:00:00,353,40.924675,,,,{983FCE39-7ACE-467D-8DCE-CE1761ABBA69},2693.43160225387,243149.038041567
5190,2019,CA,USF,ANF,5871371010602,FY19 CLEAR CREEK FB RX,3,2019/03/02 00:00:00,2019/03/02 00:00:00,353,40.924675,,,,{DE6D230A-9F0E-4BAD-8C0D-9D1B503C8CBE},2693.43160225387,243149.038041567
5191,2019,CA,USF,ANF,5871363010602,FY19 CLEAR CREEK RX GEORGE'S GAP,14,2019/04/02 00:00:00,2019/04/02 00:00:00,353,10.787364,,,,{B1D5B84F-9D6E-4D49-8C7B-CB7E76C63ADC},1706.20039558368,64079.2499269923
5192,2018,CA,USF,ENF,5810336010602,CALLECAT 141,14,2018/11/30 00:00:00,2018/11/30 00:00:00,95,98.396973,,,,{611D773B-9540-4A6F-9E42-978F1ECFE39E},3830.93396475661,653261.792035586
5193,2019,CA,USF,CNF,5800876010602,ALPINE CD FA ,14,2019/02/01 00:00:00,2019/02/01 00:00:00,3,2.8128331,,,,{7E1019A1-6814-4E85-8D2C-09714B32C4DB},558.137452988469,16143.2792755965
5194,2018,CA,USF,ENF,5810332010602,CALLECAT 142,14,2018/11/30 00:00:00,2018/11/30 00:00:00,47,49.068439,,,,{285DA2B9-DC40-4510-B6CD-436A657B80F4},4198.9881202538,325731.250914192
5195,2018,CA,USF,ENF,5810342010602,CALLECAT 146,14,2018/11/30 00:00:00,2018/11/30 00:00:00,67,92.633873,,,,{EDDD9EC3-0CEA-4B4A-9103-2C227DA7352F},3594.7771687708,614732.139277065
5196,2018,CA,USF,ENF,5810339010602,CALLECAT 148,14,2018/11/30 00:00:00,2018/11/30 00:00:00,88,92.293358,,,,{D310D958-9E7E-4992-9685-87004C597817},4507.08896758578,612582.946247913
5197,2018,CA,USF,ENF,5810044010602,BEAR RIVER T1 2018 SITE PREP,14,2018/11/01 00:00:00,2018/11/01 00:00:00,28,27.530357,,,,{3C718B80-3008-4D12-A325-6DFDFAD5FB15},2856.08512226929,182206.155405149
5198,2019,CA,USF,ENF,5764829010602,BEAR RIVER T3 2018 SITE PREP,14,2019/04/24 00:00:00,2019/04/24 00:00:00,106,105.86642,,,,{B5FC9102-FD54-47EC-A153-B5E7BB6F1B8E},4561.97366622115,700709.443153106
5199,2019,CA,USF,CNF,5824313010602,SERV. CONTRACT - HANDWORK - THIN/*,14,2019/04/09 00:00:00,2019/04/09 00:00:00,156,153.72043,,,,{09EA8C75-86F6-45CB-940B-78F4856B1225},4932.85906985311,884267.378494283
5200,2019,CA,USF,ENF,5817216010602,ROCKY KNOB T2 BRUSHCUT,14,2019/03/28 00:00:00,2019/03/28 00:00:00,50,49.987396,,,,{CD3BC3BA-B7DB-4BD2-86A3-9EB89F85EDCA},3124.11551561849,330889.885336936
5201,2019,CA,USF,CNF,5831014010602,LAGUNA PLACE 7A  44AC,3,2019/05/01 00:00:00,2019/05/01 00:00:00,44,44.556847,,,,{E19D82A1-AFC6-4037-B74F-A45A91228ED1},3116.56840025151,256367.801160522
5202,2019,CA,USF,CNF,5831015010602,LAGUNA PLACE 7B 29AC,3,2019/04/25 00:00:00,2019/04/25 00:00:00,29,29.201771,,,,{B45C0B7F-A532-471E-9325-2F63CE46E1CE},1961.70091804155,168020.614258293
5203,2019,CA,USF,ENF,5773234010602,POWER FIRE  RXBURN UNIT 7 454 ACR*,3,2019/04/24 00:00:00,2019/04/24 00:00:00,454,148.51549,,,,{CD34DC54-DBAA-4F2E-84C0-5C025533BCB7},5162.02735330411,983265.768175951
5204,2018,CA,USF,ENF,5810130010602,BEAR RIVER T7,14,2018/11/01 00:00:00,2018/11/01 00:00:00,28,27.689487,,,,{3419BD85-B312-4C4F-B54C-4C0E6998FBBF},2555.35001395153,183207.607804596
